Gene stable ID	Gene name
AGAP005333	
AGAP005334	CTLMA2
AGAP005335	CTL4
AGAP005336	
AGAP005337	
AGAP005338	
AGAP005339	
AGAP005340	
AGAP005341	
AGAP005342	
AGAP005343	
AGAP005344	
AGAP005345	
AGAP005346	
AGAP005347	
AGAP005348	
AGAP005349	
AGAP005350	
AGAP005351	
AGAP005352	
AGAP005353	
AGAP005354	
AGAP005355	
AGAP005356	
AGAP005359	
AGAP005360	
AGAP005361	
AGAP005362	
AGAP005363	
AGAP005364	
AGAP005365	
AGAP005366	
AGAP005368	
AGAP005369	
AGAP005370	COEBE4C
AGAP005371	COEBE2C
AGAP005372	COEBE3C
AGAP005373	COEBE1C
AGAP005374	
AGAP005375	
AGAP005376	
AGAP005377	
AGAP005378	
AGAP005379	
AGAP005380	
AGAP005381	
AGAP005382	
AGAP005383	
AGAP005384	
AGAP005385	
AGAP005386	
AGAP005387	
AGAP005388	
AGAP005389	
AGAP005390	
AGAP005391	
AGAP005392	
AGAP005393	
AGAP005394	
AGAP005396	
AGAP005397	
AGAP005398	
AGAP005399	
AGAP005400	
AGAP005401	
AGAP005402	
AGAP005404	
AGAP005405	
AGAP005406	
AGAP005407	
AGAP005408	
AGAP005409	
AGAP005410	
AGAP005412	
AGAP005413	
AGAP005414	
AGAP005415	
AGAP005416	DEF4
AGAP005417	
AGAP005418	
AGAP005419	Adrenodoxin_red
AGAP005420	
AGAP005421	
AGAP005422	
AGAP005423	
AGAP005424	
AGAP005425	
AGAP005427	RpL28
AGAP005428	
AGAP005429	Thoc6
AGAP005430	
AGAP005431	
AGAP005432	
AGAP005433	
AGAP005434	
AGAP005435	
AGAP005437	
AGAP005438	
AGAP005440	
AGAP005444	
AGAP005445	
AGAP005446	
AGAP005447	
AGAP005448	
AGAP005449	
AGAP005450	
AGAP005451	CPR11
AGAP005453	CPR12
AGAP005454	CPR13
AGAP005455	CPR14
AGAP005456	CPR15
AGAP005457	
AGAP005458	
AGAP005459	CPR16
AGAP005460	
AGAP005461	
AGAP005462	
AGAP005463	
AGAP005464	GPRDIH1
AGAP005465	GPRDIH2
AGAP005878	
AGAP005467	
AGAP005468	
AGAP005469	
AGAP005470	
AGAP005471	
AGAP005472	
AGAP005473	
AGAP005474	
AGAP005475	
AGAP005476	
AGAP005477	
AGAP005478	
AGAP005479	
AGAP005480	
AGAP005481	
AGAP005482	
AGAP005483	
AGAP005484	
AGAP005485	
AGAP005486	
AGAP005487	
AGAP028712	
AGAP028711	
AGAP005490	
AGAP005491	
AGAP005492	
AGAP005493	
